phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
address book,address,book,medium,5.4,6.4,1,1.0,concrete,neutral,object
air filter,air,filter,medium,5.4,6.4,1,1.0,concrete,neutral,object
air pump,air,pump,medium,5.4,6.4,1,1.0,concrete,neutral,object
air show,air,show,medium,5.4,6.4,1,1.0,concrete,neutral,performance
area rug,area,rug,medium,5.4,6.4,1,1.0,concrete,neutral,household
arm chair,arm,chair,medium,5.6,6.6,1,1.0,concrete,neutral,household
arm rest,arm,rest,medium,5.4,6.4,1,1.0,concrete,neutral,object
auto show,auto,show,medium,5.2,6.2,1,1.0,concrete,neutral,performance
back rest,back,rest,medium,5.2,6.2,1,1.0,concrete,neutral,object
back room,back,room,medium,5.4,6.4,2,1.0,concrete,neutral,building
bank account,bank,account,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
bank book,bank,book,low,4.8,5.8,1,1.0,concrete,neutral,object
bank card,bank,card,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
bank loan,bank,loan,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
bank note,bank,note,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
bank teller,bank,teller,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
bank vault,bank,vault,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
bar stool,bar,stool,medium,5.4,6.4,1,1.0,concrete,neutral,household
base ball,base,ball,high,6.2,7.4,1,1.0,concrete,neutral,sports
base hit,base,hit,medium,5.2,6.2,1,1.0,concrete,neutral,sports
base line,base,line,medium,5.4,6.4,2,1.0,concrete,neutral,sports
basket ball,basket,ball,high,6.0,7.2,1,1.0,concrete,neutral,sports
bath mat,bath,mat,medium,5.4,6.4,1,1.0,concrete,neutral,household
bath rug,bath,rug,medium,5.2,6.2,1,1.0,concrete,neutral,household
bath towel,bath,towel,medium,5.8,6.8,1,1.0,concrete,neutral,household
bath tub,bath,tub,high,6.0,7.2,1,1.0,concrete,neutral,household
bed cover,bed,cover,medium,5.4,6.4,2,1.0,concrete,neutral,household
bed frame,bed,frame,medium,5.6,6.6,1,1.0,concrete,neutral,household
bed pillow,bed,pillow,medium,5.4,6.4,1,1.0,concrete,neutral,household
bed side,bed,side,medium,5.6,6.6,2,1.0,concrete,neutral,household
bird bath,bird,bath,medium,5.4,6.4,1,1.0,concrete,neutral,nature
bird cage,bird,cage,medium,5.4,6.4,1,1.0,concrete,neutral,animal
bird food,bird,food,medium,5.4,6.4,1,1.0,concrete,neutral,animal
bird nest,bird,nest,medium,5.4,6.4,1,1.0,concrete,neutral,nature
bird seed,bird,seed,medium,5.4,6.4,1,1.0,concrete,neutral,animal
bird song,bird,song,medium,5.2,6.2,1,1.0,concrete,neutral,nature
blanket fort,blanket,fort,medium,5.2,6.2,1,1.0,concrete,neutral,household
blanket stitch,blanket,stitch,low,4.8,5.8,1,1.0,concrete,neutral,craft
board room,board,room,medium,5.4,6.4,1,1.0,concrete,neutral,work
body pillow,body,pillow,medium,5.2,6.2,1,1.0,concrete,neutral,household
boiler room,boiler,room,medium,5.0,6.0,1,1.0,concrete,neutral,building
book bag,book,bag,medium,5.6,6.6,1,1.0,concrete,neutral,household
book club,book,club,medium,5.6,6.6,1,1.0,concrete,neutral,social
book end,book,end,medium,5.4,6.4,2,1.0,concrete,neutral,household
book mark,book,mark,medium,5.4,6.4,2,1.0,concrete,neutral,household
book shelf,book,shelf,medium,5.6,6.6,1,1.0,concrete,neutral,household
bowling ball,bowling,ball,medium,5.4,6.4,1,1.0,concrete,neutral,sports
brake light,brake,light,medium,5.4,6.4,1,1.0,concrete,neutral,transport
bread basket,bread,basket,medium,5.4,6.4,1,1.0,concrete,neutral,household
bread knife,bread,knife,medium,5.2,6.2,1,1.0,concrete,neutral,household
bucket list,bucket,list,medium,5.4,6.4,1,0.6,concrete,neutral,object
busy signal,busy,signal,medium,5.2,6.2,1,1.0,concrete,neutral,communication
butter dish,butter,dish,medium,5.2,6.2,1,1.0,concrete,neutral,household
