phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
ice cream,ice,cream,high,6.5,7.8,1,1.0,concrete,neutral,food
hot dog,hot,dog,high,6.5,7.8,1,1.0,concrete,neutral,food
peanut butter,peanut,butter,high,6.2,7.4,1,1.0,concrete,neutral,food
apple pie,apple,pie,high,6.2,7.4,1,1.0,concrete,neutral,food
apple juice,apple,juice,high,6.2,7.4,1,1.0,concrete,neutral,drink
apple sauce,apple,sauce,medium,5.8,6.8,1,1.0,concrete,neutral,food
apple cider,apple,cider,medium,5.6,6.6,1,1.0,concrete,neutral,drink
apple core,apple,core,medium,5.4,6.4,1,1.0,concrete,neutral,food
orange juice,orange,juice,high,6.2,7.4,1,1.0,concrete,neutral,drink
orange peel,orange,peel,medium,5.6,6.6,1,1.0,concrete,neutral,food
orange slice,orange,slice,medium,5.4,6.4,1,1.0,concrete,neutral,food
lemon juice,lemon,juice,medium,5.8,6.8,1,1.0,concrete,neutral,drink
lemon peel,lemon,peel,medium,5.4,6.4,1,1.0,concrete,neutral,food
lemon drop,lemon,drop,medium,5.4,6.4,1,1.0,concrete,neutral,food
lime juice,lime,juice,medium,5.6,6.6,1,1.0,concrete,neutral,drink
lime green,lime,green,medium,5.4,6.4,1,1.0,concrete,neutral,color
grape juice,grape,juice,medium,5.6,6.6,1,1.0,concrete,neutral,drink
grape vine,grape,vine,medium,5.4,6.4,1,1.0,concrete,neutral,nature
cherry pie,cherry,pie,medium,5.6,6.6,1,1.0,concrete,neutral,food
cherry tomato,cherry,tomato,medium,5.4,6.4,1,1.0,concrete,neutral,food
cherry red,cherry,red,medium,5.2,6.2,1,1.0,concrete,neutral,color
peach pie,peach,pie,medium,5.4,6.4,1,1.0,concrete,neutral,food
peach cobbler,peach,cobbler,medium,5.4,6.4,1,1.0,concrete,neutral,food
peach tree,peach,tree,medium,5.4,6.4,1,1.0,concrete,neutral,nature
plum tree,plum,tree,low,5.0,6.0,1,1.0,concrete,neutral,nature
banana bread,banana,bread,medium,5.6,6.6,1,1.0,concrete,neutral,food
banana split,banana,split,medium,5.6,6.6,1,1.0,concrete,neutral,food
banana peel,banana,peel,medium,5.6,6.6,1,1.0,concrete,neutral,food
strawberry jam,strawberry,jam,medium,5.4,6.4,1,1.0,concrete,neutral,food
strawberry pie,strawberry,pie,medium,5.4,6.4,1,1.0,concrete,neutral,food
blueberry pie,blueberry,pie,medium,5.4,6.4,1,1.0,concrete,neutral,food
blueberry muffin,blueberry,muffin,medium,5.4,6.4,1,1.0,concrete,neutral,food
raspberry jam,raspberry,jam,medium,5.2,6.2,1,1.0,concrete,neutral,food
cranberry sauce,cranberry,sauce,medium,5.4,6.4,1,1.0,concrete,neutral,food
cranberry juice,cranberry,juice,medium,5.4,6.4,1,1.0,concrete,neutral,drink
tomato sauce,tomato,sauce,medium,5.8,6.8,1,1.0,concrete,neutral,food
tomato soup,tomato,soup,medium,5.6,6.6,1,1.0,concrete,neutral,food
tomato paste,tomato,paste,medium,5.4,6.4,1,1.0,concrete,neutral,food
tomato juice,tomato,juice,medium,5.4,6.4,1,1.0,concrete,neutral,drink
tomato salad,tomato,salad,medium,5.4,6.4,1,1.0,concrete,neutral,food
potato chip,potato,chip,high,5.8,6.8,1,1.0,concrete,neutral,food
potato salad,potato,salad,medium,5.6,6.6,1,1.0,concrete,neutral,food
potato soup,potato,soup,medium,5.4,6.4,1,1.0,concrete,neutral,food
potato skin,potato,skin,medium,5.4,6.4,1,1.0,concrete,neutral,food
mashed potato,mashed,potato,medium,5.6,6.6,1,1.0,concrete,neutral,food
baked potato,baked,potato,medium,5.6,6.6,1,1.0,concrete,neutral,food
sweet potato,sweet,potato,medium,5.6,6.6,1,1.0,concrete,neutral,food
french fry,french,fry,high,5.8,6.8,1,1.0,concrete,neutral,food
onion ring,onion,ring,medium,5.6,6.6,1,1.0,concrete,neutral,food
onion soup,onion,soup,medium,5.4,6.4,1,1.0,concrete,neutral,food
corn chip,corn,chip,medium,5.4,6.4,1,1.0,concrete,neutral,food
corn cob,corn,cob,medium,5.4,6.4,1,1.0,concrete,neutral,food
corn stalk,corn,stalk,medium,5.2,6.2,1,1.0,concrete,neutral,nature
corn field,corn,field,medium,5.4,6.4,1,1.0,concrete,neutral,nature
corn bread,corn,bread,medium,5.6,6.6,1,1.0,concrete,neutral,food
corn meal,corn,meal,medium,5.2,6.2,1,1.0,concrete,neutral,food
corn flake,corn,flake,medium,5.4,6.4,1,1.0,concrete,neutral,food
