phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
fire truck,fire,truck,high,6.2,7.4,1,1.0,concrete,neutral,transport
school bus,school,bus,high,6.2,7.4,1,1.0,concrete,neutral,transport
city bus,city,bus,medium,5.6,6.6,1,1.0,concrete,neutral,transport
tour bus,tour,bus,medium,5.4,6.4,1,1.0,concrete,neutral,transport
bus stop,bus,stop,high,6.0,7.2,1,1.0,concrete,neutral,transport
bus route,bus,route,medium,5.4,6.4,1,1.0,concrete,neutral,transport
bus driver,bus,driver,medium,5.6,6.6,1,1.0,concrete,neutral,transport
bus station,bus,station,medium,5.6,6.6,1,1.0,concrete,neutral,transport
bus ticket,bus,ticket,medium,5.4,6.4,1,1.0,concrete,neutral,transport
bus fare,bus,fare,medium,5.2,6.2,1,1.0,concrete,neutral,transport
bus lane,bus,lane,medium,5.2,6.2,1,1.0,concrete,neutral,transport
bus shelter,bus,shelter,medium,5.2,6.2,1,1.0,concrete,neutral,transport
train station,train,station,high,5.8,6.8,1,1.0,concrete,neutral,transport
train track,train,track,medium,5.6,6.6,1,1.0,concrete,neutral,transport
train car,train,car,medium,5.4,6.4,1,1.0,concrete,neutral,transport
train ride,train,ride,medium,5.4,6.4,1,1.0,concrete,neutral,transport
train ticket,train,ticket,medium,5.4,6.4,1,1.0,concrete,neutral,transport
train set,train,set,medium,5.4,6.4,1,1.0,concrete,neutral,object
toy train,toy,train,medium,5.4,6.4,1,1.0,concrete,neutral,object
freight train,freight,train,medium,5.4,6.4,1,1.0,concrete,neutral,transport
passenger train,passenger,train,medium,5.2,6.2,1,1.0,concrete,neutral,transport
steam train,steam,train,medium,5.2,6.2,1,1.0,concrete,neutral,transport
subway train,subway,train,medium,5.4,6.4,1,1.0,concrete,neutral,transport
subway station,subway,station,medium,5.4,6.4,1,1.0,concrete,neutral,transport
subway car,subway,car,medium,5.2,6.2,1,1.0,concrete,neutral,transport
subway map,subway,map,medium,5.2,6.2,1,1.0,concrete,neutral,object
subway tunnel,subway,tunnel,medium,5.2,6.2,1,1.0,concrete,neutral,transport
rail road,rail,road,medium,5.4,6.4,1,1.0,concrete,neutral,transport
rail car,rail,car,medium,5.2,6.2,1,1.0,concrete,neutral,transport
rail track,rail,track,medium,5.2,6.2,1,1.0,concrete,neutral,transport
train bridge,train,bridge,medium,5.2,6.2,1,1.0,concrete,neutral,transport
car door,car,door,medium,5.6,6.6,1,1.0,concrete,neutral,transport
car seat,car,seat,high,5.8,6.8,1,1.0,concrete,neutral,transport
car key,car,key,medium,5.6,6.6,1,1.0,concrete,neutral,object
car wash,car,wash,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
car park,car,park,medium,5.6,6.6,1,1.0,concrete,neutral,transport
car pool,car,pool,medium,5.4,6.4,1,1.0,concrete,neutral,transport
car ride,car,ride,medium,5.6,6.6,1,1.0,concrete,neutral,transport
car trip,car,trip,medium,5.4,6.4,1,1.0,concrete,neutral,transport
car horn,car,horn,medium,5.4,6.4,1,1.0,concrete,neutral,transport
car alarm,car,alarm,medium,5.4,6.4,1,1.0,concrete,neutral,transport
car crash,car,crash,medium,5.6,6.6,1,1.0,concrete,negative,transport
car window,car,window,medium,5.4,6.4,1,1.0,concrete,neutral,transport
car tire,car,tire,medium,5.6,6.6,1,1.0,concrete,neutral,transport
car wheel,car,wheel,medium,5.4,6.4,1,1.0,concrete,neutral,transport
car engine,car,engine,medium,5.4,6.4,1,1.0,concrete,neutral,transport
sports car,sports,car,medium,5.6,6.6,1,1.0,concrete,neutral,transport
race car,race,car,medium,5.6,6.6,1,1.0,concrete,neutral,transport
police car,police,car,medium,5.6,6.6,1,1.0,concrete,neutral,transport
patrol car,patrol,car,medium,5.2,6.2,1,1.0,concrete,neutral,transport
squad car,squad,car,medium,5.2,6.2,1,1.0,concrete,neutral,transport
rental car,rental,car,medium,5.4,6.4,1,1.0,concrete,neutral,transport
used car,used,car,medium,5.6,6.6,1,1.0,concrete,neutral,transport
new car,new,car,medium,5.8,6.8,1,1.0,concrete,neutral,transport
old car,old,car,medium,5.6,6.6,1,1.0,concrete,neutral,transport
toy car,toy,car,medium,5.6,6.6,1,1.0,concrete,neutral,object
remote car,remote,car,medium,5.2,6.2,1,1.0,concrete,neutral,object
truck bed,truck,bed,medium,5.4,6.4,1,1.0,concrete,neutral,transport
truck stop,truck,stop,medium,5.4,6.4,1,1.0,concrete,neutral,transport
truck driver,truck,driver,medium,5.6,6.6,1,1.0,concrete,neutral,transport
dump truck,dump,truck,medium,5.6,6.6,1,1.0,concrete,neutral,transport
tow truck,tow,truck,medium,5.6,6.6,1,1.0,concrete,neutral,transport
ice cream truck,ice,cream,high,5.6,6.6,1,1.0,concrete,neutral,transport
mail truck,mail,truck,medium,5.4,6.4,1,1.0,concrete,neutral,transport
delivery truck,delivery,truck,medium,5.4,6.4,1,1.0,concrete,neutral,transport
moving truck,moving,truck,medium,5.4,6.4,1,1.0,concrete,neutral,transport
pickup truck,pickup,truck,medium,5.6,6.6,1,1.0,concrete,neutral,transport
semi truck,semi,truck,medium,5.4,6.4,1,1.0,concrete,neutral,transport
monster truck,monster,truck,medium,5.4,6.4,1,1.0,concrete,neutral,transport
tank truck,tank,truck,medium,5.0,6.0,1,1.0,concrete,neutral,transport
flat bed,flat,bed,medium,5.2,6.2,1,1.0,concrete,neutral,transport
van pool,van,pool,low,4.8,5.8,1,1.0,concrete,neutral,transport
mini van,mini,van,medium,5.4,6.4,1,1.0,concrete,neutral,transport
moving van,moving,van,medium,5.2,6.2,1,1.0,concrete,neutral,transport
taxi cab,taxi,cab,medium,5.6,6.6,1,1.0,concrete,neutral,transport
cab driver,cab,driver,medium,5.4,6.4,1,1.0,concrete,neutral,transport
cab fare,cab,fare,medium,5.2,6.2,1,1.0,concrete,neutral,transport
taxi stand,taxi,stand,medium,5.2,6.2,1,1.0,concrete,neutral,transport
bike path,bike,path,medium,5.6,6.6,1,1.0,concrete,neutral,transport
bike lane,bike,lane,medium,5.4,6.4,1,1.0,concrete,neutral,transport
bike rack,bike,rack,medium,5.4,6.4,1,1.0,concrete,neutral,object
bike ride,bike,ride,medium,5.6,6.6,1,1.0,concrete,neutral,transport
bike shop,bike,shop,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
bike trail,bike,trail,medium,5.4,6.4,1,1.0,concrete,neutral,nature
bike helmet,bike,helmet,medium,5.4,6.4,1,1.0,concrete,neutral,object
bike wheel,bike,wheel,medium,5.2,6.2,1,1.0,concrete,neutral,object
bike chain,bike,chain,medium,5.2,6.2,1,1.0,concrete,neutral,object
bike lock,bike,lock,medium,5.4,6.4,1,1.0,concrete,neutral,object
mountain bike,mountain,bike,medium,5.6,6.6,1,1.0,concrete,neutral,transport
road bike,road,bike,medium,5.2,6.2,1,1.0,concrete,neutral,transport
dirt bike,dirt,bike,medium,5.4,6.4,1,1.0,concrete,neutral,transport
motor bike,motor,bike,medium,5.4,6.4,1,1.0,concrete,neutral,transport
motor cycle,motor,cycle,medium,5.6,6.6,1,1.0,concrete,neutral,transport
scooter ride,scooter,ride,medium,5.2,6.2,1,1.0,concrete,neutral,transport
air plane,air,plane,high,6.0,7.2,1,1.0,concrete,neutral,transport
plane ticket,plane,ticket,medium,5.6,6.6,1,1.0,concrete,neutral,transport
plane ride,plane,ride,medium,5.4,6.4,1,1.0,concrete,neutral,transport
jet plane,jet,plane,medium,5.4,6.4,1,1.0,concrete,neutral,transport
paper plane,paper,plane,medium,5.4,6.4,1,1.0,concrete,neutral,object
toy plane,toy,plane,medium,5.2,6.2,1,1.0,concrete,neutral,object
model plane,model,plane,medium,5.2,6.2,1,1.0,concrete,neutral,object
cargo plane,cargo,plane,medium,5.2,6.2,1,1.0,concrete,neutral,transport
air port,air,port,high,6.0,7.2,1,1.0,concrete,neutral,transport
airport terminal,airport,terminal,medium,5.4,6.4,1,1.0,concrete,neutral,transport
