phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
high school,high,school,high,6.4,7.6,1,1.0,concrete,neutral,school
middle school,middle,school,medium,5.8,6.8,1,1.0,concrete,neutral,school
grade school,grade,school,medium,5.6,6.6,1,1.0,concrete,neutral,school
elementary school,elementary,school,medium,5.6,6.6,1,1.0,concrete,neutral,school
public school,public,school,medium,5.6,6.6,1,1.0,concrete,neutral,school
private school,private,school,medium,5.4,6.4,1,1.0,concrete,neutral,school
charter school,charter,school,medium,5.2,6.2,1,1.0,concrete,neutral,school
boarding school,boarding,school,medium,5.2,6.2,1,1.0,concrete,neutral,school
summer school,summer,school,medium,5.4,6.4,1,1.0,concrete,neutral,school
school day,school,day,medium,5.6,6.6,1,1.0,concrete,neutral,school
school year,school,year,medium,5.6,6.6,1,1.0,concrete,neutral,school
school bus,school,bus,high,6.0,7.2,1,1.0,concrete,neutral,transport
school zone,school,zone,medium,5.6,6.6,1,1.0,concrete,neutral,school
school yard,school,yard,medium,5.6,6.6,1,1.0,concrete,neutral,school
school board,school,board,medium,5.4,6.4,1,1.0,concrete,neutral,school
school teacher,school,teacher,medium,5.6,6.6,1,1.0,concrete,neutral,school
school nurse,school,nurse,medium,5.4,6.4,1,1.0,concrete,neutral,school
school lunch,school,lunch,medium,5.6,6.6,1,1.0,concrete,neutral,food
school supplies,school,supplies,medium,5.4,6.4,1,1.0,concrete,neutral,school
school uniform,school,uniform,medium,5.2,6.2,1,1.0,concrete,neutral,clothing
school bell,school,bell,medium,5.4,6.4,1,1.0,concrete,neutral,school
school spirit,school,spirit,medium,5.2,6.2,1,0.7,concrete,neutral,school
school play,school,play,medium,5.2,6.2,1,1.0,concrete,neutral,school
school dance,school,dance,medium,5.4,6.4,1,1.0,concrete,neutral,school
school trip,school,trip,medium,5.4,6.4,1,1.0,concrete,neutral,school
class room,class,room,high,6.0,7.2,1,1.0,concrete,neutral,school
class time,class,time,medium,5.4,6.4,1,1.0,concrete,neutral,school
class trip,class,trip,medium,5.2,6.2,1,1.0,concrete,neutral,school
class picture,class,picture,medium,5.2,6.2,1,1.0,concrete,neutral,school
class project,class,project,medium,5.4,6.4,1,1.0,concrete,neutral,school
class president,class,president,medium,5.2,6.2,1,1.0,concrete,neutral,school
class pet,class,pet,medium,5.2,6.2,1,1.0,concrete,neutral,school
art class,art,class,medium,5.6,6.6,1,1.0,concrete,neutral,school
music class,music,class,medium,5.4,6.4,1,1.0,concrete,neutral,school
gym class,gym,class,medium,5.6,6.6,1,1.0,concrete,neutral,school
math class,math,class,medium,5.6,6.6,1,1.0,concrete,neutral,school
science class,science,class,medium,5.4,6.4,1,1.0,concrete,neutral,school
english class,english,class,medium,5.4,6.4,1,1.0,concrete,neutral,school
history class,history,class,medium,5.4,6.4,1,1.0,concrete,neutral,school
reading class,reading,class,medium,5.2,6.2,1,1.0,concrete,neutral,school
writing class,writing,class,medium,5.2,6.2,1,1.0,concrete,neutral,school
dance class,dance,class,medium,5.4,6.4,1,1.0,concrete,neutral,school
swim class,swim,class,medium,5.2,6.2,1,1.0,concrete,neutral,school
first grade,first,grade,medium,5.6,6.6,1,1.0,concrete,neutral,school
second grade,second,grade,medium,5.4,6.4,1,1.0,concrete,neutral,school
third grade,third,grade,medium,5.4,6.4,1,1.0,concrete,neutral,school
fourth grade,fourth,grade,medium,5.4,6.4,1,1.0,concrete,neutral,school
fifth grade,fifth,grade,medium,5.4,6.4,1,1.0,concrete,neutral,school
sixth grade,sixth,grade,medium,5.2,6.2,1,1.0,concrete,neutral,school
grade level,grade,level,medium,5.2,6.2,1,1.0,concrete,neutral,school
grade point,grade,point,medium,5.2,6.2,1,1.0,concrete,neutral,school
report card,report,card,medium,5.6,6.6,1,1.0,concrete,neutral,school
test score,test,score,medium,5.6,6.6,1,1.0,concrete,neutral,school
test paper,test,paper,medium,5.4,6.4,1,1.0,concrete,neutral,school
test question,test,question,medium,5.2,6.2,1,1.0,concrete,neutral,school
spelling test,spelling,test,medium,5.4,6.4,1,1.0,concrete,neutral,school
math test,math,test,medium,5.4,6.4,1,1.0,concrete,neutral,school
final test,final,test,medium,5.2,6.2,1,1.0,concrete,neutral,school
pop quiz,pop,quiz,medium,5.4,6.4,1,1.0,concrete,neutral,school
home work,home,work,high,5.8,6.8,1,1.0,concrete,neutral,school
class work,class,work,medium,5.4,6.4,1,1.0,concrete,neutral,school
group work,group,work,medium,5.4,6.4,1,1.0,concrete,neutral,school
book report,book,report,medium,5.4,6.4,1,1.0,concrete,neutral,school
science project,science,project,medium,5.4,6.4,1,1.0,concrete,neutral,school
art project,art,project,medium,5.4,6.4,1,1.0,concrete,neutral,school
group project,group,project,medium,5.4,6.4,1,1.0,concrete,neutral,school
term paper,term,paper,medium,5.2,6.2,1,1.0,concrete,neutral,school
research paper,research,paper,medium,5.4,6.4,1,1.0,concrete,neutral,school
note book,note,book,medium,5.8,6.8,1,1.0,concrete,neutral,object
text book,text,book,medium,5.8,6.8,1,1.0,concrete,neutral,object
work book,work,book,medium,5.4,6.4,1,1.0,concrete,neutral,object
library book,library,book,medium,5.4,6.4,1,1.0,concrete,neutral,object
library card,library,card,medium,5.4,6.4,1,1.0,concrete,neutral,object
book bag,book,bag,medium,5.6,6.6,1,1.0,concrete,neutral,object
back pack,back,pack,high,5.8,6.8,1,1.0,concrete,neutral,object
pencil box,pencil,box,medium,5.4,6.4,1,1.0,concrete,neutral,object
pencil case,pencil,case,medium,5.4,6.4,1,1.0,concrete,neutral,object
pencil sharpener,pencil,sharpener,medium,5.4,6.4,1,1.0,concrete,neutral,object
pen holder,pen,holder,medium,5.2,6.2,1,1.0,concrete,neutral,object
paper clip,paper,clip,medium,5.6,6.6,1,1.0,concrete,neutral,object
glue stick,glue,stick,medium,5.6,6.6,1,1.0,concrete,neutral,object
tape dispenser,tape,dispenser,medium,5.2,6.2,1,1.0,concrete,neutral,object
chalk board,chalk,board,medium,5.6,6.6,1,1.0,concrete,neutral,object
white board,white,board,medium,5.6,6.6,1,1.0,concrete,neutral,object
bulletin board,bulletin,board,medium,5.4,6.4,1,1.0,concrete,neutral,object
cork board,cork,board,medium,5.2,6.2,1,1.0,concrete,neutral,object
poster board,poster,board,medium,5.4,6.4,1,1.0,concrete,neutral,object
student desk,student,desk,medium,5.4,6.4,1,1.0,concrete,neutral,object
teacher desk,teacher,desk,medium,5.2,6.2,1,1.0,concrete,neutral,object
school desk,school,desk,medium,5.4,6.4,1,1.0,concrete,neutral,object
locker room,locker,room,medium,5.6,6.6,1,1.0,concrete,neutral,school
gym floor,gym,floor,medium,5.2,6.2,1,1.0,concrete,neutral,school
gym bag,gym,bag,medium,5.4,6.4,1,1.0,concrete,neutral,object
gym shoes,gym,shoes,medium,5.4,6.4,1,1.0,concrete,neutral,clothing
gym teacher,gym,teacher,medium,5.4,6.4,1,1.0,concrete,neutral,school
recess time,recess,time,medium,5.4,6.4,1,1.0,concrete,neutral,school
lunch time,lunch,time,medium,5.6,6.6,1,1.0,concrete,neutral,time
lunch room,lunch,room,medium,5.4,6.4,1,1.0,concrete,neutral,school
lunch table,lunch,table,medium,5.4,6.4,1,1.0,concrete,neutral,school
lunch tray,lunch,tray,medium,5.4,6.4,1,1.0,concrete,neutral,object
lunch line,lunch,line,medium,5.2,6.2,1,1.0,concrete,neutral,school
play ground,play,ground,high,5.8,6.8,1,1.0,concrete,neutral,school
play time,play,time,medium,5.6,6.6,1,1.0,concrete,neutral,time
play date,play,date,medium,5.4,6.4,1,1.0,concrete,neutral,social
play group,play,group,medium,5.2,6.2,1,1.0,concrete,neutral,social
play area,play,area,medium,5.4,6.4,1,1.0,concrete,neutral,school
play room,play,room,medium,5.4,6.4,1,1.0,concrete,neutral,household
play mat,play,mat,medium,5.2,6.2,1,1.0,concrete,neutral,object
play set,play,set,medium,5.2,6.2,1,1.0,concrete,neutral,object
swing set,swing,set,medium,5.6,6.6,1,1.0,concrete,neutral,object
slide ride,slide,ride,medium,5.2,6.2,1,1.0,concrete,neutral,object
jungle gym,jungle,gym,medium,5.4,6.4,1,1.0,concrete,neutral,object
monkey bars,monkey,bars,medium,5.4,6.4,1,1.0,concrete,neutral,object
sand box,sand,box,medium,5.6,6.6,1,1.0,concrete,neutral,object
ball pit,ball,pit,medium,5.4,6.4,1,1.0,concrete,neutral,object
bounce house,bounce,house,medium,5.4,6.4,1,1.0,concrete,neutral,object
team sport,team,sport,medium,5.4,6.4,1,1.0,concrete,neutral,sports
team player,team,player,medium,5.4,6.4,1,0.8,concrete,neutral,sports
team captain,team,captain,medium,5.4,6.4,1,1.0,concrete,neutral,sports
team mate,team,mate,medium,5.6,6.6,1,1.0,concrete,neutral,sports
team work,team,work,medium,5.6,6.6,1,0.7,concrete,neutral,sports
home team,home,team,medium,5.6,6.6,1,1.0,concrete,neutral,sports
away team,away,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports
soccer team,soccer,team,medium,5.6,6.6,1,1.0,concrete,neutral,sports
soccer ball,soccer,ball,medium,5.8,6.8,1,1.0,concrete,neutral,sports
soccer field,soccer,field,medium,5.6,6.6,1,1.0,concrete,neutral,sports
soccer game,soccer,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports
soccer goal,soccer,goal,medium,5.4,6.4,1,1.0,concrete,neutral,sports
soccer player,soccer,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports
soccer coach,soccer,coach,medium,5.4,6.4,1,1.0,concrete,neutral,sports
soccer practice,soccer,practice,medium,5.2,6.2,1,1.0,concrete,neutral,sports
soccer season,soccer,season,medium,5.2,6.2,1,1.0,concrete,neutral,sports
base ball,base,ball,high,6.0,7.2,1,1.0,concrete,neutral,sports
baseball bat,baseball,bat,medium,5.6,6.6,1,1.0,concrete,neutral,sports
baseball cap,baseball,cap,medium,5.6,6.6,1,1.0,concrete,neutral,clothing
baseball card,baseball,card,medium,5.4,6.4,1,1.0,concrete,neutral,object
baseball field,baseball,field,medium,5.6,6.6,1,1.0,concrete,neutral,sports
baseball game,baseball,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports
baseball glove,baseball,glove,medium,5.6,6.6,1,1.0,concrete,neutral,sports
baseball player,baseball,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports
baseball team,baseball,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports
basket ball,basket,ball,high,6.0,7.2,1,1.0,concrete,neutral,sports
basketball court,basketball,court,medium,5.6,6.6,1,1.0,concrete,neutral,sports
basketball game,basketball,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports
basketball hoop,basketball,hoop,medium,5.6,6.6,1,1.0,concrete,neutral,sports
basketball player,basketball,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports
basketball team,basketball,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports
foot ball,foot,ball,high,6.0,7.2,1,1.0,concrete,neutral,sports
football field,football,field,medium,5.6,6.6,1,1.0,concrete,neutral,sports
football game,football,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports
football player,football,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports
football team,football,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports
football helmet,football,helmet,medium,5.4,6.4,1,1.0,concrete,neutral,sports
football season,football,season,medium,5.4,6.4,1,1.0,concrete,neutral,sports
tennis ball,tennis,ball,medium,5.6,6.6,1,1.0,concrete,neutral,sports
tennis court,tennis,court,medium,5.4,6.4,1,1.0,concrete,neutral,sports
tennis racket,tennis,racket,medium,5.4,6.4,1,1.0,concrete,neutral,sports
tennis match,tennis,match,medium,5.2,6.2,1,1.0,concrete,neutral,sports
tennis player,tennis,player,medium,5.2,6.2,1,1.0,concrete,neutral,sports
golf ball,golf,ball,medium,5.6,6.6,1,1.0,concrete,neutral,sports
golf club,golf,club,medium,5.6,6.6,1,1.0,concrete,neutral,sports
golf course,golf,course,medium,5.6,6.6,1,1.0,concrete,neutral,sports
golf cart,golf,cart,medium,5.4,6.4,1,1.0,concrete,neutral,transport
swim team,swim,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports
swim meet,swim,meet,medium,5.2,6.2,1,1.0,concrete,neutral,sports
swim race,swim,race,medium,5.2,6.2,1,1.0,concrete,neutral,sports
swimming pool,swimming,pool,medium,5.8,6.8,1,1.0,concrete,neutral,sports
track meet,track,meet,medium,5.4,6.4,1,1.0,concrete,neutral,sports
track team,track,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports
track race,track,race,medium,5.2,6.2,1,1.0,concrete,neutral,sports
race track,race,track,medium,5.6,6.6,1,1.0,concrete,neutral,sports
relay race,relay,race,medium,5.4,6.4,1,1.0,concrete,neutral,sports
foot race,foot,race,medium,5.2,6.2,1,1.0,concrete,neutral,sports
long jump,long,jump,medium,5.4,6.4,1,1.0,concrete,neutral,sports
high jump,high,jump,medium,5.4,6.4,1,1.0,concrete,neutral,sports
triple jump,triple,jump,medium,5.0,6.0,1,1.0,concrete,neutral,sports
pole vault,pole,vault,medium,5.2,6.2,1,1.0,concrete,neutral,sports
score board,score,board,medium,5.4,6.4,1,1.0,concrete,neutral,sports
final score,final,score,medium,5.4,6.4,1,1.0,concrete,neutral,sports
high score,high,score,medium,5.4,6.4,1,1.0,concrete,neutral,sports
game score,game,score,medium,5.2,6.2,1,1.0,concrete,neutral,sports
game time,game,time,medium,5.4,6.4,1,1.0,concrete,neutral,sports
game day,game,day,medium,5.6,6.6,1,1.0,concrete,neutral,sports
game plan,game,plan,medium,5.4,6.4,1,0.8,concrete,neutral,sports
game night,game,night,medium,5.4,6.4,1,1.0,concrete,neutral,social
board game,board,game,medium,5.8,6.8,1,1.0,concrete,neutral,object
card game,card,game,medium,5.8,6.8,1,1.0,concrete,neutral,object
video game,video,game,high,5.8,6.8,1,1.0,concrete,neutral,object
party game,party,game,medium,5.4,6.4,1,1.0,concrete,neutral,social
word game,word,game,medium,5.4,6.4,1,1.0,concrete,neutral,object
guessing game,guessing,game,medium,5.2,6.2,1,1.0,concrete,neutral,social
ball game,ball,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports
fair game,fair,game,medium,5.2,6.2,1,0.7,concrete,neutral,social
birthday party,birthday,party,high,5.8,6.8,1,1.0,concrete,neutral,social
birthday cake,birthday,cake,high,5.8,6.8,1,1.0,concrete,neutral,food
birthday card,birthday,card,medium,5.6,6.6,1,1.0,concrete,neutral,object
birthday gift,birthday,gift,medium,5.6,6.6,1,1.0,concrete,neutral,object
birthday present,birthday,present,medium,5.6,6.6,1,1.0,concrete,neutral,object
birthday wish,birthday,wish,medium,5.4,6.4,1,1.0,concrete,neutral,social
birthday song,birthday,song,medium,5.4,6.4,1,1.0,concrete,neutral,music
birthday candle,birthday,candle,medium,5.4,6.4,1,1.0,concrete,neutral,object
surprise party,surprise,party,medium,5.4,6.4,1,1.0,concrete,neutral,social
costume party,costume,party,medium,5.4,6.4,1,1.0,concrete,neutral,social
pool party,pool,party,medium,5.4,6.4,1,1.0,concrete,neutral,social
pizza party,pizza,party,medium,5.6,6.6,1,1.0,concrete,neutral,social
tea party,tea,party,medium,5.6,6.6,1,1.0,concrete,neutral,social
dinner party,dinner,party,medium,5.6,6.6,1,1.0,concrete,neutral,social
holiday party,holiday,party,medium,5.4,6.4,1,1.0,concrete,neutral,social
block party,block,party,medium,5.4,6.4,1,1.0,concrete,neutral,social
party hat,party,hat,medium,5.4,6.4,1,1.0,concrete,neutral,object
party favor,party,favor,medium,5.2,6.2,1,1.0,concrete,neutral,object
party dress,party,dress,medium,5.2,6.2,1,1.0,concrete,neutral,clothing
party time,party,time,medium,5.4,6.4,1,1.0,concrete,neutral,social
party host,party,host,medium,5.2,6.2,1,1.0,concrete,neutral,social
party guest,party,guest,medium,5.2,6.2,1,1.0,concrete,neutral,social
party food,party,food,medium,5.4,6.4,1,1.0,concrete,neutral,food
party planner,party,planner,medium,5.2,6.2,1,1.0,concrete,neutral,job
wedding party,wedding,party,medium,5.4,6.4,1,1.0,concrete,neutral,social
wedding dress,wedding,dress,medium,5.6,6.6,1,1.0,concrete,neutral,clothing
wedding cake,wedding,cake,medium,5.6,6.6,1,1.0,concrete,neutral,food
wedding ring,wedding,ring,medium,5.6,6.6,1,1.0,concrete,neutral,object
wedding band,wedding,band,medium,5.4,6.4,1,1.0,concrete,neutral,object
wedding day,wedding,day,medium,5.6,6.6,1,1.0,concrete,neutral,social
