phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
credit card,credit,card,high,6.2,7.4,1,1.0,concrete,neutral,commerce
debit card,debit,card,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
gift card,gift,card,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
bank card,bank,card,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
membership card,membership,card,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
reward card,reward,card,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
store card,store,card,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
price tag,price,tag,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
name tag,name,tag,medium,5.6,6.6,1,1.0,concrete,neutral,object
sale price,sale,price,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
full price,full,price,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
half price,half,price,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
low price,low,price,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
high price,high,price,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
list price,list,price,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
asking price,asking,price,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
price range,price,range,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
price drop,price,drop,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
price cut,price,cut,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
yard sale,yard,sale,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
garage sale,garage,sale,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
bake sale,bake,sale,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
tag sale,tag,sale,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
book sale,book,sale,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
fire sale,fire,sale,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
big sale,big,sale,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
flash sale,flash,sale,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
clearance sale,clearance,sale,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
going out,going,out,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
for sale,for,sale,high,5.8,6.8,1,1.0,concrete,neutral,commerce
on sale,on,sale,high,5.8,6.8,1,1.0,concrete,neutral,commerce
cash register,cash,register,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
cash box,cash,box,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
cash flow,cash,flow,medium,5.4,6.4,1,0.7,concrete,neutral,commerce
petty cash,petty,cash,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
cash payment,cash,payment,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
cash value,cash,value,medium,5.2,6.2,1,0.8,concrete,neutral,commerce
check out,check,out,high,5.8,6.8,1,1.0,concrete,neutral,commerce
check book,check,book,medium,5.4,6.4,1,1.0,concrete,neutral,object
check mark,check,mark,medium,5.4,6.4,1,1.0,concrete,neutral,object
check list,check,list,medium,5.6,6.6,1,1.0,concrete,neutral,object
pay check,pay,check,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
rain check,rain,check,medium,5.2,6.2,1,0.7,concrete,neutral,commerce
blank check,blank,check,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
personal check,personal,check,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
bank check,bank,check,medium,5.2,6.2,1,1.0,concrete,neutral,commerce
shopping cart,shopping,cart,medium,5.8,6.8,1,1.0,concrete,neutral,commerce
shopping bag,shopping,bag,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
shopping list,shopping,list,medium,5.6,6.6,1,1.0,concrete,neutral,object
shopping trip,shopping,trip,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
shopping mall,shopping,mall,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
shopping center,shopping,center,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
window shopping,window,shopping,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
online shopping,online,shopping,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
grocery store,grocery,store,high,5.8,6.8,1,1.0,concrete,neutral,commerce
grocery list,grocery,list,medium,5.6,6.6,1,1.0,concrete,neutral,object
grocery bag,grocery,bag,medium,5.6,6.6,1,1.0,concrete,neutral,object
grocery cart,grocery,cart,medium,5.4,6.4,1,1.0,concrete,neutral,object
grocery shopping,grocery,shopping,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
convenience store,convenience,store,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
department store,department,store,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
hardware store,hardware,store,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
pet store,pet,store,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
toy store,toy,store,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
shoe store,shoe,store,medium,5.6,6.6,1,1.0,concrete,neutral,commerce
