phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity,level_tier
access code,access,code,medium,5.2,1.63,1,1.0,concrete,neutral,technology,20.0,1,4,mid (21-50)
account balance,account,balance,medium,5.4,1.61,1,0.8,concrete,neutral,commerce,20.0,1,4,mid (21-50)
account number,account,number,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
address book,address,book,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
admission fee,admission,fee,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
afternoon sun,afternoon,sun,medium,5.2,1.63,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
air balloon,air,balloon,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
air mail,air,mail,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
air plane,air,plane,high,6.0,2.23,3,1.0,concrete,neutral,transport,20.0,1,4,early (1-20)
air show,air,show,medium,5.4,1.63,2,1.0,concrete,neutral,performance,20.0,1,4,mid (21-50)
airport gate,airport,gate,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
airport shuttle,airport,shuttle,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
airport terminal,airport,terminal,medium,5.4,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
alarm clock,alarm,clock,high,5.5,2.22,1,1.0,concrete,neutral,household,23.0,1,4,early (1-20)
almond butter,almond,butter,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
almond milk,almond,milk,medium,5.4,1.63,1,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
annual fee,annual,fee,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
ant hill,ant,hill,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
apple cider,apple,cider,medium,5.6,1.67,2,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
apple core,apple,core,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
apple juice,apple,juice,high,6.2,2.08,1,1.0,concrete,neutral,drink,20.0,1,4,early (1-20)
apple pie,apple,pie,high,6.2,2.23,1,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
apple sauce,apple,sauce,medium,5.8,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
apple tree,apple,tree,medium,5.6,1.67,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
application form,application,form,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
area code,area,code,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
area rug,area,rug,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
arm chair,arm,chair,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
arm rest,arm,rest,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
art class,art,class,medium,5.6,1.67,2,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
art club,art,club,medium,5.2,1.63,2,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
art festival,art,festival,medium,5.2,1.63,2,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
art gallery,art,gallery,medium,5.4,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
art museum,art,museum,medium,5.4,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
art project,art,project,medium,5.4,1.63,2,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
art room,art,room,medium,5.4,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
art teacher,art,teacher,medium,5.4,1.63,1,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
art work,art,work,medium,5.6,1.65,1,0.8,concrete,neutral,art,20.0,1,4,mid (21-50)
asking price,asking,price,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
assembly line,assembly,line,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
auto shop,auto,shop,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
auto show,auto,show,medium,5.2,1.63,2,1.0,concrete,neutral,performance,20.0,1,4,mid (21-50)
autumn leaves,autumn,leaves,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
away team,away,team,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baby food,baby,food,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baby sitter,baby,sitter,medium,5.6,1.67,1,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
back door,back,door,high,6.5,2.23,3,1.0,concrete,neutral,household,18.0,1,5,early (1-20)
back entrance,back,entrance,medium,5.2,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
back lawn,back,lawn,medium,5.2,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
back pack,back,pack,high,5.8,2.07,2,1.0,concrete,neutral,object,20.0,1,4,early (1-20)
back pocket,back,pocket,medium,5.5,1.67,2,1.0,concrete,neutral,clothing,23.0,1,4,mid (21-50)
back up,back,up,medium,5.6,1.67,1,1.0,concrete,neutral,technology,20.0,1,4,mid (21-50)
bad day,bad,day,medium,5.6,1.67,2,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
bag lunch,bag,lunch,high,5.5,2.07,1,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
bagel shop,bagel,shop,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bake sale,bake,sale,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
baked bean,baked,bean,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baked potato,baked,potato,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baking dish,baking,dish,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baking pan,baking,pan,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baking powder,baking,powder,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baking sheet,baking,sheet,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baking soda,baking,soda,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baking tray,baking,tray,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
ball game,ball,game,medium,5.6,2.22,2,1.0,concrete,neutral,sports,20.0,1,4,early (1-20)
ballet class,ballet,class,medium,5.2,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
ballet shoes,ballet,shoes,medium,5.2,1.63,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
balloon ride,balloon,ride,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
banana bread,banana,bread,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
banana peel,banana,peel,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
banana split,banana,split,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
band member,band,member,medium,5.2,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
band practice,band,practice,medium,5.2,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
bank account,bank,account,medium,5.6,2.22,1,1.0,concrete,neutral,commerce,20.0,1,4,early (1-20)
bank balance,bank,balance,medium,5.2,1.61,2,0.8,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank card,bank,card,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank check,bank,check,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank loan,bank,loan,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank note,bank,note,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank statement,bank,statement,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bank teller,bank,teller,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank vault,bank,vault,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bar code,bar,code,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bar stool,bar,stool,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bar tab,bar,tab,medium,5.5,1.67,1,1.0,concrete,neutral,commerce,17.0,1,4,mid (21-50)
barbecue sauce,barbecue,sauce,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
