phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity
access code,access,code,medium,5.2,6.2,1,1.0,concrete,neutral,technology,20.0,1,4
account balance,account,balance,medium,5.4,6.4,1,0.8,concrete,neutral,commerce,20.0,1,4
account number,account,number,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
add up,add,up,medium,5.6,6.6,1,0.5,abstract,neutral,thought,20.0,1,4
address book,address,book,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
admission fee,admission,fee,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
afternoon sun,afternoon,sun,medium,5.2,6.2,1,1.0,concrete,neutral,time,20.0,1,4
air balloon,air,balloon,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
air filter,air,filter,medium,5.4,6.4,4,1.0,concrete,neutral,object,20.0,1,4
air mail,air,mail,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
air plane,air,plane,high,6.0,7.2,3,1.0,concrete,neutral,transport,20.0,1,4
air port,air,port,high,6.0,7.2,3,1.0,concrete,neutral,transport,20.0,1,4
air pump,air,pump,medium,5.4,6.4,3,1.0,concrete,neutral,object,20.0,1,4
air show,air,show,medium,5.4,6.4,2,1.0,concrete,neutral,performance,20.0,1,4
airport gate,airport,gate,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
airport shuttle,airport,shuttle,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
airport terminal,airport,terminal,medium,5.4,6.4,1,1.0,concrete,neutral,transport,20.0,1,4
alarm clock,alarm,clock,high,5.5,5.7,1,1.0,concrete,neutral,household,23.0,1,4
all along,all,along,medium,5.6,6.6,1,0.5,abstract,neutral,time,20.0,1,4
all through,all,through,medium,5.4,6.4,1,0.5,abstract,neutral,time,20.0,1,4
almond butter,almond,butter,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
almond milk,almond,milk,medium,5.4,6.4,1,1.0,concrete,neutral,drink,20.0,1,4
almond shell,almond,shell,low,4.8,5.8,1,1.0,concrete,neutral,food,20.0,1,4
annual fee,annual,fee,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
answer back,answer,back,medium,5.0,6.0,1,0.5,abstract,negative,communication,20.0,1,4
ant hill,ant,hill,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
any way,any,way,high,5.8,6.8,1,0.5,abstract,neutral,thought,20.0,1,4
apple cider,apple,cider,medium,5.6,6.6,2,1.0,concrete,neutral,drink,20.0,1,4
apple core,apple,core,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
apple juice,apple,juice,high,6.2,7.4,1,1.0,concrete,neutral,drink,20.0,1,4
apple pie,apple,pie,high,6.2,7.4,1,1.0,concrete,neutral,food,20.0,1,4
apple sauce,apple,sauce,medium,5.8,6.8,1,1.0,concrete,neutral,food,20.0,1,4
apple tree,apple,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature,20.0,1,4
application form,application,form,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
area code,area,code,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
area rug,area,rug,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
arm chair,arm,chair,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
arm rest,arm,rest,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
art class,art,class,medium,5.6,6.6,2,1.0,concrete,neutral,school,20.0,1,4
art club,art,club,medium,5.2,6.2,2,1.0,concrete,neutral,school,20.0,1,4
art festival,art,festival,medium,5.2,6.2,2,1.0,concrete,neutral,social,20.0,1,4
art gallery,art,gallery,medium,5.4,6.4,1,1.0,concrete,neutral,building,20.0,1,4
art museum,art,museum,medium,5.4,6.4,1,1.0,concrete,neutral,building,20.0,1,4
art project,art,project,medium,5.4,6.4,2,1.0,concrete,neutral,school,20.0,1,4
art room,art,room,medium,5.4,6.4,1,1.0,concrete,neutral,school,20.0,1,4
art show,art,show,medium,5.4,6.4,3,1.0,concrete,neutral,social,20.0,1,4
art supply,art,supply,medium,5.2,6.2,3,1.0,concrete,neutral,object,20.0,1,4
art teacher,art,teacher,medium,5.4,6.4,1,1.0,concrete,neutral,job,20.0,1,4
art work,art,work,medium,5.6,6.6,1,0.8,concrete,neutral,art,20.0,1,4
ask about,ask,about,medium,5.6,6.6,2,0.5,abstract,neutral,communication,20.0,1,4
ask around,ask,around,medium,5.2,6.2,2,0.5,abstract,neutral,action,20.0,1,4
asking price,asking,price,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
assembly line,assembly,line,medium,5.4,6.4,1,1.0,concrete,neutral,work,20.0,1,4
auto shop,auto,shop,medium,5.2,6.2,2,1.0,concrete,neutral,commerce,20.0,1,4
auto show,auto,show,medium,5.2,6.2,2,1.0,concrete,neutral,performance,20.0,1,4
autumn leaves,autumn,leaves,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
away team,away,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
baby food,baby,food,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
baby sitter,baby,sitter,medium,5.6,6.6,1,1.0,concrete,neutral,job,20.0,1,4
back door,back,door,high,6.5,6.9,3,1.0,concrete,neutral,household,18.0,1,5
back down,back,down,medium,5.4,6.4,3,0.5,abstract,negative,action,20.0,1,4
back entrance,back,entrance,medium,5.2,6.2,1,1.0,concrete,neutral,building,20.0,1,4
back lawn,back,lawn,medium,5.2,6.2,1,1.0,concrete,neutral,nature,20.0,1,4
back off,back,off,medium,5.4,6.4,3,0.5,abstract,negative,action,20.0,1,4
back office,back,office,medium,5.2,6.2,3,1.0,concrete,neutral,work,20.0,1,4
back order,back,order,medium,5.2,6.2,3,1.0,concrete,neutral,commerce,20.0,1,4
back pack,back,pack,high,5.8,6.8,2,1.0,concrete,neutral,object,20.0,1,4
back pocket,back,pocket,medium,5.5,5.7,2,1.0,concrete,neutral,clothing,23.0,1,4
back rest,back,rest,medium,5.2,6.2,3,1.0,concrete,neutral,object,20.0,1,4
back road,back,road,medium,5.4,6.4,3,1.0,concrete,neutral,transport,20.0,1,4
back room,back,room,medium,5.4,6.4,3,1.0,concrete,neutral,building,20.0,1,4
back street,back,street,medium,5.2,6.2,3,1.0,concrete,neutral,transport,20.0,1,4
back track,back,track,medium,5.2,6.2,1,0.6,abstract,neutral,action,20.0,1,4
back up,back,up,medium,5.6,6.6,1,1.0,concrete,neutral,technology,20.0,1,4
bad day,bad,day,medium,5.6,6.6,2,1.0,concrete,neutral,social,20.0,1,4
bad fortune,bad,fortune,low,4.8,5.8,2,0.5,abstract,negative,social,20.0,1,4
bad idea,bad,idea,medium,5.6,6.6,1,0.5,abstract,negative,thought,20.0,1,4
